address,lat,link,lng,name,rating_yandex,review_count,reviews,rating_yandex_norm,review_count_norm,popularity,kitchen, DJ, барная стойка, бесплатная парковка, винная карта, живая музыка, закрытие под банкет, круглосуточная кухня, меню на английском, местоположение у воды, настольные игры, своя пекарня, устричный бар,24_hour,DJ,Restopub Finnegan's приглашает на бизнес ланч,discount_10,discount_15,discount_20,discount_50,discount_7,Завтраки в ресторане МА,Счастливые часы,барная стойка,бесплатная парковка,бранчи,винная карта,детская анимация,живая музыка,закрытие под банкет,круглосуточная кухня,кулинария,кухня_авторская,кухня_азербайджанская,кухня_азиатская,кухня_американская,кухня_английская,кухня_армянская,кухня_белорусская,кухня_веганская,кухня_вегетарианская,кухня_восточная,кухня_греческая,кухня_грузинская,кухня_домашняя,кухня_еврейская,кухня_европейская,кухня_индийская,кухня_индонезийская,кухня_ирландская,кухня_испанская,кухня_итальянская,кухня_кавказская,кухня_китайская,кухня_континентальная,кухня_корейская,кухня_латиноамериканская,кухня_международная,кухня_мексиканская,кухня_морская,кухня_мясная,кухня_национальная,кухня_немецкая,кухня_неткухня_специализации,кухня_паназиатская,кухня_русская,кухня_рыбная,кухня_сербская,кухня_скандинавская,кухня_смешанная,кухня_средиземноморская,кухня_тайская,кухня_узбекская,кухня_украинская,кухня_французская,кухня_фьюжн,кухня_чешская,кухня_шашлык,кухня_японская,меню на английском,местоположение у воды,настольные игры,своя пекарня,танцпол
ул. Большая Конюшенная 2,59.939555,,30.32433,JoJo Bar,4.4,24.0,,0.8421052631578948,0.008706467661691543,0.009356725146198832,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ул. Большая Конюшенная 2,59.939555,,30.32433,Le Tour De Vin,3.2,18.0,"Отличное соотношение цена/качество особенно для такого расположения! Не ждите новой мебели, отсутствие народа! Приятный банщик, хорошая парная!|Замечательное и душевное место. Обязательно к посещению!!! Хозяева замечательная супружеская пара,общаешься с ними,как со старыми... ещё|Зашел в это заведение. Как его назвать не знаю: подвал, по культурному цокольный этаж. Торгуют якобы марочным вином и закусками, на деле самым дешевым, что... ещё|Вкуснейшая кухня, лучшие советы по выбору вина, не ограничивающиеся стандартной барной картой. Очень душевное и приятное место|Супер место. Хозяину спасибо.",0.5263157894736842,0.006218905472636815,0.004177109440267335,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ул. Садовая 83,59.919432,,30.292835,Кафе Африка,4.6,214.0,"Отличное кафе, с виду не скажешь, что там так уютно внутри. Зашли случайно, на улице шёл дождь и вдруг захотелось согреться и перекусить. Порадовало... ещё|Бич вариант. Если вас не волнует, как и в каких условиях готовят и где вам сидеть, то вариант подходящий) Сытные ланчи, но всё оооочень старое, запахи, убитая... ещё|Отлично празднуем др в подушечном зале, еда вкусная, кальяны ароматные)|Уютное кафе, недорого. Приятный персонал. Вкусная еда. Быстро обслуживают. Хочется придти ещё|Хорошая разнообразная кухня, низкие цены, очень доброжелательный персонал. Интерьер простенький, но уютный. Иногда в одном из залов проходят концерты... ещё",0.8947368421052629,0.08747927031509121,0.0998886104149262,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ул. Садовая 83,59.919432,,30.292835,Le Glamour,4.3,60.0,"Благодарим ресторан Le Glamour за прекрасную организацию банкета нашей свадьбы. Обслуживание было на высшем уровне! Еда вкусная, официанты... ещё|Большое спасибо ресторану Гламур за наш свадебный банкет, проведённый в зале Лофт. Не буду расписывать подробно их красивый, огромный и светлый зал... ещё|место для банкетов|Уже десять лет празднуем там встречи с одноклассниками. Всегда все на высшем уровне! Рекомендую всем.|Хотим выразить огромную благодарность менеджеру ресторана Le Glamour Елене за организацию нашего свадебного торжества 24 июля. Начиная от выбора... ещё",0.8157894736842105,0.0236318407960199,0.024603174603174606,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ул. Марата 2,59.931242,,30.355816,Beer House,4.3,141.0,"забегала на днях в этот бар! какие же здесь колбаски! и кстати отличается от всей сети,тем что отделка золотым металом в интерьере использована.
планировка... ещё|Пивная карта есть в наличии не вся. Принесли счет, в который добавились блюда из незакрытого счета предыдущих гостей этого стола (как сказал официант... ещё|Приезжал в командировку и по традиции решил посетить паб. Случайным образом на карте выбрал этот, вроде ближе к центру и тд. Ну так вот, взял пиво какое-то за 350р... ещё|Я уже писала отзвыв))) ну ладно дублирую))) заведение удобное по расположению, покушали-пообщались и на вокзал))) атмосферное, уютное кафе... ещё|Отличный паб! Разнообразные сорта разливного бочкового пива, хорошая кухня, бармены только мужчины, обслуживают очень быстро, приветливы... ещё",0.8157894736842105,0.05721393034825871,0.059565580618212204,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ул. Марата 2,59.931242,,30.355816,Pitcher,4.2,104.0,"Милое душевное кафе. Сесть сложно, мест очень мало. Кофе хороший.|Приятная кофейня, очень небольшая|Одна из лучших кофейн👍🏻 Надо расширятся, выкупив место у цветочного магазина 😁|Маленькая уютная кофейня, есть десерты, отличный кофе и бонусная система|Отличный кофе за приемлемую цену. Намного больше места, чем на парке победы. Улыбки, Музыка, атмосфера. От кофейни ничего больше и не нужно... ещё",0.7894736842105262,0.04187396351575456,0.042188805346700074,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ул. Лахтинская 9,59.962534,,30.301279,Beauty Bar & Kitchen,4.7,57.0,"Прекрасная кухня, чудо бармен Дима.
Хожу сюда постоянно на ланчи и коктейли. Всё улётно-замечательно|Отличное место. Название говорит само за себе. Красивые люди и вкусная еда здесь Вам обеспечены|Один из немногих тихих ресторанов на петроградке. Эстетично, спокойно, вкусно, приятно. 
Рекомендую|Шла по отзывам.Да, действительно, отличная кухня! Уютно и гармонично.Единственное, по моему мнению, завышены цены на... ещё|Отлично приготовленная еда, потрясающие коктейли, маст дринк на Петроградке.",0.9210526315789475,0.022388059701492536,0.026315789473684213,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
пр. Старо-Петергофский 21 кор. 5,59.91042,,30.275147,Кафе или зал для поминок СПб,4.1,4.0,Спасибо за обед поминальный,0.7631578947368419,0.0004145936981757878,0.000403787245892509,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ул. Стартовая 6 А,59.806342,,30.315895,Sky Light,4.3,109.0,"Днём есть обеды в формате шведский стол за косарь с носа. Выбор блюд большой: горячее, салаты, закуски, десерты. Бухла нет. Оплачивать на входе.

Внутри... ещё|Жрачка обеденная, дорогая жрачка 700 рэ. С человэка!|Приятный интерьер, насыщенный завтрак. Большой выбор блюд. Завтрак - шведский стол.|В этом месте прекрасно все!
Очень красиво оформляют столы, 
Очень вкусно готовят.
Внимательный персонал!
Хорошие... ещё|Хороший номерной фонд
Большой выбор блюд шведского стола
Удобное расположение от аэропорта
Есть трансферы в город и... ещё",0.8157894736842105,0.0439469320066335,0.045753272069061546,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ул. Рыбацкая 4,59.958178,,30.297507,Бюро - Бургеры и Бар,4.7,184.0,"Креативное место, возможность поиграть в бургер-конструктор. Домашние сезонные холодные и горячие напитки|Хорошая музыка, персонал в татухах по всему телу, в меню есть бутерброды со сдобной булкой в районе 300-500 рубчиков, наверное вкусные, название там... ещё|Одно из самых любимых мест в Питере! Потрясающий интерьер, идеальный уровень громкости музыки, сама музыка отлично подобрана. Восхитительные... ещё|Очень классное место! Звезду снял за то, что на входе стоит знак Яндекс Еда, а через них я Бюро не нашёл|Остался в некотором недоумении от заведения. Видимо нечто для богатых студентов.)",0.9210526315789475,0.07504145936981758,0.08820662768031191,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
